room	start	duration	status
entrance	2024-11-16 20:48:38	4.0	Emergency
corridor	2024-11-16 20:48:42	0.0	Normal
entrance	2024-11-16 20:48:53	0.0	Normal
corridor	2024-11-16 20:48:53	23.0	Emergency
entrance	2024-11-16 20:49:16	8.0	Emergency
corridor	2024-11-16 20:49:24	0.0	Normal
entrance	2024-11-16 20:49:32	0.0	Normal
corridor	2024-11-16 20:49:32	8.0	Emergency
entrance	2024-11-16 20:49:40	13.0	Emergency
corridor	2024-11-16 20:49:53	8.0	Emergency
entrance	2024-11-16 20:50:01	0.0	Normal
corridor	2024-11-16 20:50:12	0.0	Normal
entrance	2024-11-16 20:50:12	0.0	Normal
corridor	2024-11-16 20:50:18	0.0	Normal
entrance	2024-11-16 20:50:18	0.0	Normal
corridor	2024-11-16 20:50:27	0.0	Normal
entrance	2024-11-16 20:50:27	12.0	Emergency
corridor	2024-11-16 20:50:39	4.0	Normal
entrance	2024-11-16 20:50:43	9.0	Emergency
corridor	2024-11-16 20:50:52	8.0	Emergency
entrance	2024-11-16 20:51:00	7.0	Emergency
corridor	2024-11-16 20:51:07	8.0	Emergency
entrance	2024-11-16 20:51:15	9.0	Emergency
corridor	2024-11-16 20:51:24	0.0	Normal
entrance	2024-11-16 20:51:32	0.0	Normal
corridor	2024-11-16 20:51:32	0.0	Normal
entrance	2024-11-16 20:51:39	0.0	Normal
corridor	2024-11-16 20:51:39	5.0	Normal
entrance	2024-11-16 20:51:45	7.0	Emergency
corridor	2024-11-16 20:51:52	7.0	Emergency
entrance	2024-11-16 20:51:59	0.0	Normal
corridor	2024-11-16 20:52:05	0.0	Normal
entrance	2024-11-16 20:52:05	6.0	Emergency
corridor	2024-11-16 20:52:11	0.0	Normal
entrance	2024-11-16 20:52:18	0.0	Normal
corridor	2024-11-16 20:52:18	8.0	Emergency
entrance	2024-11-16 20:52:41	0.0	Normal
corridor	2024-11-16 20:52:41	0.0	Normal
entrance	2024-11-16 20:52:52	0.0	Normal
corridor	2024-11-16 20:52:52	0.0	Normal
entrance	2024-11-16 20:52:58	0.0	Normal
corridor	2024-11-16 20:52:58	7.0	Emergency
entrance	2024-11-16 20:53:06	10.0	Emergency
corridor	2024-11-16 20:53:16	4.0	Normal
entrance	2024-11-16 20:53:20	0.0	Normal
corridor	2024-11-16 20:53:28	0.0	Normal
entrance	2024-11-16 20:53:28	0.0	Normal
corridor	2024-11-16 20:53:35	0.0	Normal
entrance	2024-11-16 20:53:35	0.0	Normal
corridor	2024-11-16 20:53:44	0.0	Normal
entrance	2024-11-16 20:53:44	0.0	Normal
corridor	2024-11-16 20:53:53	0.0	Normal
entrance	2024-11-16 20:53:53	0.0	Normal
corridor	2024-11-16 20:53:57	0.0	Normal
entrance	2024-11-16 20:53:57	0.0	Normal
corridor	2024-11-16 20:54:08	0.0	Normal
entrance	2024-11-16 20:54:08	5.0	Emergency
corridor	2024-11-16 20:54:13	9.0	Emergency
entrance	2024-11-16 20:54:22	0.0	Normal
corridor	2024-11-16 20:54:28	0.0	Normal
